measurement_id,object_name,object_plane_depth_z_m,image_path,w_p1_x,w_p1_y,w_p2_x,w_p2_y,h_p1_x,h_p1_y,h_p2_x,h_p2_y,actual_width_mm,actual_height_mm,estimated_width_mm,estimated_height_mm,width_signed_error_mm,width_absolute_error_mm,width_percentage_error,height_signed_error_mm,height_absolute_error_mm,height_percentage_error
1,Dell OptiPlex 7060 SFF,2.2,data/experiments/IMG_7069.JPG,1895.5,2690.0,2058.0,2690.0,1976.5,2435.0,1976.5,2945.0,92.6,290.0,,,,,,,,
2,Dell OptiPlex 7060 SFF,2.5146,data/experiments/IMG_7084.JPG,2016.5,2695.5,2158.0,2695.5,2085.5,2475.0,2089.0,2916.0,92.6,290.0,,,,,,,,
3,Dell OptiPlex 7060 SFF,3.1242,data/experiments/IMG_7090.JPG,2010.5,2676.5,2129.0,2677.5,2069.5,2494.5,2070.0,2859.5,92.6,290.0,,,,,,,,
4,FILA sandals box,2.54,data/experiments/IMG_7099.JPG,1594.0,2451.0,1775.5,2449.0,1682.0,2202.5,1687.5,2697.5,127,356,,,,,,,,
5,Giovanni shoe box,2.54,data/experiments/IMG_7102.JPG,2176.0,2331.5,2420.0,2333.0,2297.0,2029.0,2299.0,2635.5,152.0,416.0,,,,,,,,
6,Toastmaster coffee maker box,2.54,data/experiments/IMG_7107.JPG,1908.0,2321.5,2201.0,2319.0,2055.0,2055.0,2054.0,2585.5,200,359,,,,,,,,
7,Medium return/shipping box,2.54,data/experiments/IMG_7109.JPG,1870.0,2232.0,2003.0,2232.0,1937.0,1889.5,1936.0,2574.5,76.0,406.0,,,,,,,,
8,Brown shipping box,2.54,data/experiments/IMG_7111.JPG,2156.5,2381.0,2385.5,2382.0,2270.0,2077.5,2272.0,2685.5,144,395,,,,,,,,
9,Nike shoe box,2.54,data/experiments/IMG_7114.JPG,1937.0,2218.5,2140.0,2218.5,2036.0,1951.5,2041.0,2485.5,123,356,,,,,,,,
10,Puma Cell Regulate NX shoe box,2.54,data/experiments/IMG_7116.JPG,1828.5,2108.0,2054.0,2107.0,1931.0,1817.0,1951.5,2398.0,145.0,358.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
